path,git_blob_sha,bytes,pages_from_extracted_text,text_extracted
13-APR-94.pdf,1de83db8d479f94edf114fff4f76de00a6ce0775,292569,40,true
2DViewer.pdf,7a6a75ed88503fbafaa38a9ddba1b7ec541efee6,134787,7,true
3DEdit.pdf,225c8a2a87933defe6524903e1fff391578cbded,243377,21,true
CART-08-030195.pdf,19ad5c05bd0a1cd9a40cf334324db871ef2e6480,562393,8,true
Convert.pdf,b9750fb54f84b3f329cb5fce61dfeab5a7a9d3e3,141372,10,true
DTS-0195.pdf,0f980b05b774e477aecad3f1a30e34efb5b56f46,176048,8,true
DTS-0197.pdf,6ce1a22272da4bba70d10befb1f549406f72b707,358205,8,true
DTS-0496.pdf,95a5db0ee6381021c27e257079e01819781450c6,511045,8,true
DTS-0596.pdf,be1facc5ff62f167f2a47eb6e945e17135cf4268,460391,8,true
DTS-0695.pdf,9ea7aec8b3e353e85b496a5cf4530d877ab2ed19,278620,8,true
DTS-0696.pdf,cc467250d25acbc7c2b481a083b87a527193a542,321265,8,true
DTS-0995.pdf,f95b211853021c3b91380c4d1c428c53f8357cab,227885,8,true
DTS-1094.pdf,ab74f269175720c8547eaa67baf2144b048f0960,233657,8,true
DTS-1196.pdf,a0e7766c18bdf57c2ae027cbd94c9210feeeff20,346128,8,true
M68000PRM.pdf,5cafbaf1b3e07399ce384c0c8ac6454b8845a22b,2394181,646,true
MapEdit.pdf,eddfae22ed70661376dd0ce26d4cb26f7337f3c1,343427,24,true
Painter.pdf,7198719c6f62451c6dbb51ce231a3d7609e8e0e5,769763,69,true
QkViewer.pdf,c0234f7f4fe829121168c52fcdfb286a1462bcaf,88849,5,true
SATMAN.pdf,b2340d5607714527e77f0c52dd7481afad167396,1051563,311,true
SOUND.pdf,1a7e06b0b8ccd7a82ddf94b89e03dd80cb168529,98439,15,true
ST-013-R3-061694.pdf,59c0f0d269048d16097a2c155db170d201e6ecc2,1650775,178,true
ST-013-SP1-052794.pdf,f7e0b1e04f803171d9265968ba607df6a745795c,238367,14,true
ST-019-R1-B-050994.pdf,5848ae7fed7d3ebac9c7a11bf7f0299b455ef7b9,322769,24,true
ST-040-R4-051795.pdf,2e56c214c756ec98944dfca9a843c6b1bbeaf8d3,436835,43,true
ST-058-R2-060194.pdf,64ba1bac76427b122bf4c10a557d1a3cec29c3a1,5183615,440,true
ST-065-R1-031494.pdf,f0032743a42c0d8f6e379ca06cae3b6cb9696c41,537963,49,true
ST-066-121593.pdf,635a351664b08f7143f9db6057f1f984ffa6aa5e,335451,24,true
ST-067-121593.pdf,0480f945bea220e147306a04c9362e8698cc3ccb,439626,26,true
ST-068-R1-042594.pdf,1238975e62d78790786b98ced2ae9b1f07cf03e8,821330,53,true
ST-069-121693.pdf,437670ebcc9a152506db2cb62898551059b8d47f,268327,11,true
ST-070-R1-031094.pdf,b3ec9786e4ea192a9086030973e01975b6cae556,338729,24,true
ST-077-R2-052594.pdf,9383eb13fe65c807e3ec48f32e284b9999cd71b8,1534386,119,true
ST-079B-R3-011895.pdf,e80af217f0da4efcd29a2d799bc7a02e63f66745,247170,18,true
ST-080-R2-050994.pdf,6e5b708f6cdf2be067f02fa2a2c01d4e8f15a83b,699378,70,true
ST-081-R5-062894.pdf,a855999ef41716905a9d14bc7fa0ff8f15bb3117,595002,52,true
ST-091-R1-062794.pdf,9a12cd9e137370c3c3c1f45d03dfcdd471f687e6,231862,11,true
ST-097-R5-072694.pdf,ffa8932249634ebd98947dad123621cebe3f24fa,1702622,189,true
ST-098-031194.pdf,a4b8f0d4bff52325c4b44676acf2d2c620db7057,503750,42,true
ST-099-R1-042594.pdf,8a15c66db8b9cc9dbb8ab9033933c4d08ba5d8b8,464189,42,true
ST-103-R1-040194.pdf,c44bbd66ba543736574661a0ba596dca39877d62,707231,67,true
ST-124-R1-091394.pdf,a63d1ed90c476e91f4e5de9743e188874cb88ec0,467722,28,true
ST-129-R2-093094.pdf,21d72bf49597a1b25c686c645d65361b2e4dff21,710578,74,true
ST-129-R2-SP1-061995.pdf,907acd02f0bcbd5dfea283ea1dc4ce14fe6f0cf0,378541,29,true
ST-129-R2-SP2-082495.pdf,0741b05a44b794301e1e0c48101a4c37d6f0c805,193271,4,true
